Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
32,6.7,"[9.2, 0.0, 16.9, 7.7, 24.6, 50.8, 6.2, 0.0, 49.2, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 29.2, 0.0, 0.0, 1.5, 15.4, 6.2, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 70.3, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 26.2]",48.2,31378.95313,39,86.79828644,7110.515625,0.326603128,1
33,6.3,"[3.1, 0.0, 7.7, 0.0, 38.5, 12.3, 9.2, 0.0, 0.0, 0.0, 0.0, 9.2, 1.5, 0.0, 0.0, 0.0, 6.2, 1.5, 7.7, 3.1, 6.2, 0.0, 62.5, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 71.9, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 20.0]",48,31285.39063,39,86.79828644,7110.515625,0.325226042,1
34,5.4,"[1.6, 0.0, 6.2, 0.0, 29.7, 23.4, 6.2, 0.0, 3.1, 1.6, 1.6, 0.0, 6.2, 0.0, 0.0, 26.6, 1.6, 0.0, 0.0, 1.6, 18.8, 0.0, 42.2, 0.0, 1.6, 15.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.8, 0.0, 1.5, 0.0, 21.9, 6.2, 1.6, 0.0, 0.0, 30.8]",48,31285.74219,39,86.79828644,7110.515625,0.327032629,1
35,7.9,"[7.7, 0.0, 6.2, 0.0, 27.7, 0.0, 3.1, 10.8, 0.0, 0.0, 6.2, 7.7, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 16.7, 0.0, 1.5, 0.0, 48.4, 0.0, 0.0, 7.8, 3.1, 0.0, 0.0, 0.0, 12.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67.7, 0.0, 4.6, 0.0, 4.6, 6.2, 0.0, 0.0, 0.0, 23.4]",48,31287.47266,37,86.79828644,7110.515625,0.326945624,1
36,5,"[3.1, 0.0, 35.4, 1.5, 30.8, 9.2, 1.5, 0.0, 3.1, 0.0, 0.0, 0.0, 18.8, 0.0, 20.0, 0.0, 0.0, 1.5, 1.5, 0.0, 1.5, 0.0, 15.6, 0.0, 0.0, 10.8, 6.2, 12.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 73.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 29.2]",48,31293.12109,36,86.79828644,7110.515625,0.326993518,1
37,5,"[3.0, 0.0, 9.4, 20.0, 32.3, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.5, 0.0, 6.2, 0.0, 0.0, 0.0, 13.8, 0.0, 3.1, 18.8, 1.5, 15.4, 9.2, 0.0, 3.1, 6.1, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 69.2, 0.0, 1.5, 10.9, 1.6, 0.0, 0.0, 0.0, 0.0, 27.7]",48,31289.125,39,86.79828644,7110.515625,0.326996042,1
38,6.8,"[0.0, 0.0, 1.5, 0.0, 41.5, 0.0, 27.7, 4.5, 1.5, 0.0, 7.8, 0.0, 4.6, 0.0, 18.5, 0.0, 9.2, 18.5, 0.0, 3.1, 7.7, 0.0, 25.0, 9.2, 1.5, 21.2, 13.8, 10.8, 1.6, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.5, 0.0, 0.0, 67.2, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 25.0]",48,31295.79297,40,86.79828644,7110.515625,0.326497264,1
39,5.6,"[4.7, 0.0, 13.8, 0.0, 32.8, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 9.4, 0.0, 55.4, 1.6, 0.0, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 70.3, 0.0, 4.7, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 25.0]",48,31297.96484,38,86.79828644,7110.515625,0.324824111,1
40,6.2,"[12.7, 0.0, 14.1, 0.0, 39.1, 0.0, 3.1, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 1.6, 14.1, 0.0, 6.2, 0.0, 0.0, 0.0, 4.7, 0.0, 47.7, 0.0, 0.0, 7.8, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 66.2, 1.6, 4.7, 0.0, 7.8, 0.0, 0.0, 0.0, 0.0, 26.2]",48,31305.97656,39,86.79828644,7110.515625,0.327212112,1
41,6.2,"[4.6, 0.0, 18.5, 0.0, 46.2, 0.0, 4.6, 1.5, 31.2, 1.5, 0.0, 0.0, 1.6, 0.0, 3.1, 32.3, 0.0, 1.5, 1.6, 0.0, 1.5, 3.1, 21.9, 0.0, 0.0, 20.0, 4.7, 17.2, 0.0, 13.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67.7, 0.0, 0.0, 1.6, 4.6, 0.0, 4.7, 1.5, 0.0, 26.6]",48.1,31311.01563,38,86.79828644,7110.515625,0.324850149,1
42,5.2,"[1.5, 0.0, 16.9, 0.0, 32.3, 0.0, 21.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 1.5, 1.5, 0.0, 10.8, 4.6, 0.0, 0.0, 26.2, 6.2, 0.0, 29.2, 15.4, 1.5, 1.5, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 78.1, 1.5, 6.2, 0.0, 1.5, 6.2, 1.5, 1.5, 1.5, 56.9]",48.1,31314.32813,40,86.79828644,7110.515625,0.32513987,1
