Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
32,4.3,"[0.0, 0.0, 20.3, 0.0, 28.1, 1.6, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 9.4, 1.6, 3.1, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.4, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 0.0, 0.0, 1.6]",47,30600.98047,39,85.22210121,6981.394531,0.326954544,1
33,3.5,"[0.0, 0.0, 9.2, 0.0, 27.7, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 3.1, 4.7, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 73.8, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 3.1]",47,30600.13281,33,85.22210121,6981.394531,0.327127589,1
34,3.9,"[0.0, 0.0, 6.2, 0.0, 23.4, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 67.2, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",47,30601.85156,32,85.07256508,6969.144531,0.327171402,1
35,4.9,"[0.0, 0.0, 15.6, 26.2, 32.8, 0.0, 3.1, 0.0, 4.7, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 7.7, 4.7, 0.0, 1.6, 0.0, 0.0, 0.0, 4.7, 26.6, 0.0, 1.6, 4.7, 0.0, 0.0, 0.0, 0.0, 15.9, 9.4, 0.0, 1.6, 0.0, 3.1, 0.0, 76.6, 0.0, 4.7, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0]",47,30607.61328,38,85.07256508,6969.144531,0.326967288,1
36,3.6,"[0.0, 0.0, 20.3, 0.0, 33.8, 1.5, 13.8, 0.0, 1.5, 0.0, 0.0, 0.0, 10.8, 0.0, 21.5, 0.0, 0.0, 0.0, 21.5, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 76.1, 0.0, 3.1, 4.6, 12.3, 9.2, 0.0, 0.0, 0.0, 4.6]",47,30607.55469,39,85.07256508,6969.144531,0.326990484,1
37,2.8,"[0.0, 0.0, 15.4, 0.0, 32.3, 0.0, 4.6, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 1.5, 1.5, 0.0, 1.5, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 12.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 76.9, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 0.0, 1.6]",47,30609.73828,30,85.07256508,6969.144531,0.325304969,1
38,5.4,"[0.0, 0.0, 28.1, 1.6, 31.2, 0.0, 10.8, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.7, 1.6, 1.6, 1.6, 0.0, 0.0, 15.6, 0.0, 28.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 17.2, 1.6, 0.0, 0.0, 0.0, 0.0, 78.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1]",47,30611.55859,30,85.07256508,6969.144531,0.325358869,1
39,2.8,"[0.0, 0.0, 18.8, 0.0, 28.1, 1.6, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 81.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 1.6]",47,30619.47266,34,85.07256508,6969.144531,0.32698898,1
40,3.5,"[0.0, 0.0, 12.3, 0.0, 29.2, 0.0, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.7, 0.0, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",47,30616.01563,30,85.07256508,6969.144531,0.32721321,1
41,4.1,"[3.1, 0.0, 40.6, 0.0, 40.0, 0.0, 1.6, 25.0, 3.1, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 26.6, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 3.1, 0.0, 0.0, 0.0, 67.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",47,30614.99219,39,85.07256508,6969.144531,0.327098863,1
42,3.7,"[1.6, 0.0, 7.8, 0.0, 36.9, 1.6, 1.6, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.9, 7.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.5, 0.0, 73.8, 0.0, 0.0, 1.6, 1.6, 0.0, 0.0, 6.2, 4.8, 1.5]",47,30614.46875,30,85.07256508,6969.144531,0.326747442,1
43,2.5,"[0.0, 0.0, 16.9, 0.0, 32.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 0.0, 15.4, 0.0, 15.4, 13.8, 1.5, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 4.7, 1.5, 12.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 78.5, 0.0, 0.0, 4.6, 4.6, 0.0, 1.5, 0.0, 0.0, 1.5]",47,30617.80859,31,85.07256508,6969.144531,0.3258281,1
44,2.8,"[0.0, 0.0, 15.6, 0.0, 31.2, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.6, 7.8, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 17.2, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 75.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6]",47,30615.80078,31,85.07256508,6969.144531,0.326940705,1
